RequestId,Date Initiated,Description,Address,Zip Code,Initiated By,Date Time Closed,Status,X Coordinate,Y Coordinate,lon,lat,Request Type,Proactive,Initiated by Resident,Received by Engineer,Resident Contacted,On Hold Pending Other Action,Date In Progress,Date Complete
325863,5/26/2017 4:29,Neighborhood Traffic Issue,6200 FOREFRONT AVE,,"Integration, Citysourced",5/30/2017 10:09,CLOSED,2463622.41,7098290.91,33.13119721,-96.88247645,,,,,,,,
325864,5/26/2017 4:34,Neighborhood Traffic Issue,6200 FOREFRONT AVE,,"Integration, Citysourced",5/26/2017 5:03,CLOSED,2463538.82,7098252.14,33.13109419,-96.88275143,,,,,,,,
327322,6/6/2017 10:34,Neighborhood Traffic Issue,2300STOCKTON LN,,"Integration, Citysourced",6/6/2017 2:22,CLOSED,2467340.84,7104311.4,33.1475852,-96.87002544,,,,,,,,
329191,6/19/2017 1:17,Neighborhood Traffic Issue,Andy's Custard - Custer Rd and Eldorado Pkwy,,"Integration, Citysourced",10/9/2018 4:18,CLOSED,2508623.64,7114576.14,33.17396148,-96.73459372,,,,,,,,
329420,6/20/2017 12:35,Neighborhood Traffic Issue,6800 GAYLORD PKWY,,"Integration, Citysourced",6/26/2017 3:06,CLOSED,2481353.24,7087566.97,33.1009612,-96.82511946,,,,,,,,
329456,6/20/2017 4:12,Neighborhood Traffic Issue,11900 DEL RIO DR,,"Integration, Citysourced",9/12/2017 10:26,CLOSED,2496260.4,7115268.46,33.17642862,-96.77495875,,,,,,,,
330133,6/24/2017 4:24,Neighborhood Traffic Issue,12800 KILTARTAN DR,,"Integration, Citysourced",9/11/2017 11:01,CLOSED,2488090.17,7117726.66,33.18355017,-96.80152944,,,,,,,,
330735,6/29/2017 7:16,Neighborhood Traffic Issue,9800 WAKE BRIDGE DR,,"Integration, Citysourced",6/29/2017 10:51,CLOSED,2490426.692,7095737.288,33.1230142,-96.79505946,,,,,,,,
330736,6/29/2017 7:19,Neighborhood Traffic Issue,10100 WAKE BRIDGE DR,,"Integration, Citysourced",6/29/2017 10:51,CLOSED,2491321.25,7095743.45,33.1229912,-96.79213746,,,,,,,,
330737,6/29/2017 7:24,Neighborhood Traffic Issue,10400 JOY DR,,"Integration, Citysourced",6/29/2017 10:51,CLOSED,2492302.845,7095425.029,33.1220722,-96.78894846,,,,,,,,
332730,7/3/2017 3:49,Neighborhood Traffic Issue,30 Painted Rock CT,,Staff,9/11/2017 10:53,CLOSED,2467219.98,7120910.21,33.19320812,-96.86957861,,,,,,,,
331732,7/6/2017 10:11,Neighborhood Traffic Issue,1400 WITT RD,,"Integration, Citysourced",7/12/2017 4:30,CLOSED,2458262.61,7106355,33.15358519,-96.89958243,,,,,,,,
