RequestId,Date Initiated,Description,Address,Zip Code,Initiated By,Date Time Closed,Status,X Coordinate,Y Coordinate,lat,lon,Request Type,Response,Labor Hours,Proactive,Initiated by Resident,Received by Engineer,Resident Contacted,On Hold Pending Other Action,Date In Progress,Date Complete
522073,09/30/2019 03:14,Major Road Traffic Issue,Dallas Parkway (High School Traffic),,Staff,11/12/2019 04:32,CLOSED,2481481.77100000,7098486.76200000,33.13096604,-96.82413092,SCHOOL ZONE,,,NO - RESIDENT / OTHER,,9/17/2019 5:07:00 PM,9/26/2019 12:00:00 PM,,9/26/2019 12:00:00 PM,10/8/2019 12:00:00 PM
524546,10/10/2019 11:31,Major Road Traffic Issue,Eldorado & North County Road (School Zone),,Staff,,IP,2481939.06200000,7114348.74200000,33.17453859,-96.82180952,SCHOOL ZONE,,,NO - RESIDENT / OTHER,,10/9/2019 12:19:00 AM,10/9/2019 3:53:00 PM,,10/9/2019 12:00:00 AM,
526970,10/23/2019 10:37,Major Road Traffic Issue,VM - Stonebrook & Legacy (school zone),,Staff,11/12/2019 04:34,CLOSED,2473989.58300000,7099023.22100000,33.13276647,-96.84857567,SCHOOL ZONE,,,NO - RESIDENT / OTHER,10/22/2019 12:00:00 PM,10/23/2019 10:38:04 AM,10/24/2019 12:00:00 PM,,10/24/2019 12:00:00 PM,11/12/2019 4:33:27 PM
503191,07/30/2019 10:17,Major Road Traffic Issue,PANTHER CREEK PKWY & DALLAS PKWY,75033,Staff,09/25/2019 01:54,CLOSED,2476449.19200000,7119741.26300000,33.18959826,-96.83947174,SIGNS / MARKINGS,Yes,0.5,NO - RESIDENT / OTHER,,7/30/2019 12:00:00 AM,9/25/2019 12:00:00 PM,,9/25/2019 12:00:00 PM,9/25/2019 12:00:00 PM
503958,08/1/2019 10:43,Major Road Traffic Issue,DALLAS PKWY & LEBANON RD,75034,Staff,08/1/2019 10:44,CLOSED,2481835.07000000,7095860.72400000,33.12373352,-96.82311385,SIGNS / MARKINGS,Yes,0.75,NO - RESIDENT / OTHER,,7/31/2019 12:00:00 AM,7/31/2019 12:00:00 AM,,7/31/2019 12:00:00 AM,8/1/2019 12:00:00 AM
503961,08/1/2019 10:46,Major Road Traffic Issue,DALLAS PKWY & LEBANON RD,75034,Staff,08/1/2019 10:48,CLOSED,2481835.07000000,7095860.72400000,33.12373352,-96.82311385,SIGNS / MARKINGS,Yes,0.75,NO - RESIDENT / OTHER,,7/31/2019 12:00:00 AM,7/31/2019 12:00:00 AM,,7/31/2019 12:00:00 AM,8/1/2019 12:00:00 AM
508652,08/16/2019 10:21,Major Road Traffic Issue,LEGACY DR & STONEBROOK PKWY,75034,"Integration, Citysourced App",,COMPLETE,2473955.04000000,7098977.80700000,33.13264316,-96.84869084,SIGNS / MARKINGS,No,0.5,NO - RESIDENT / OTHER,,9/24/2019 12:00:00 PM,9/26/2019 12:00:00 PM,,9/26/2019 12:00:00 PM,9/26/2019 12:00:00 PM
511266,08/26/2019 08:53,Major Road Traffic Issue,PRESTON RD & STONEBROOK PKWY,75034,"Integration, Citysourced App",10/11/2019 11:14,CLOSED,2487416.31200000,7101531.44700000,33.13907188,-96.8045861,SIGNS / MARKINGS,Yes,,NO - RESIDENT / OTHER,8/26/2019 12:00:00 PM,10/9/2019 12:00:00 PM,10/11/2019 12:00:00 PM,,,10/11/2019 12:00:00 PM
513750,09/3/2019 11:00,Major Road Traffic Issue,LEGACY DR & STONEBROOK PKWY,75034,"Integration, Citysourced App",10/11/2019 02:26,CLOSED,2473955.04000000,7098977.80700000,33.13264316,-96.84869084,SIGNS / MARKINGS,,,,,10/3/2019 12:00:00 PM,,,,
525175,10/14/2019 03:29,Major Road Traffic Issue,Todd Dr & Lebanon Rd (No U-Turn Sign),,Staff,11/12/2019 04:32,CLOSED,2475720.83300000,7092709.67900000,33.11534024,-96.84324591,SIGNS / MARKINGS,Yes,,NO - RESIDENT / OTHER,,10/15/2019 5:00:00 PM,10/16/2019 5:00:45 PM,,10/16/2019 5:00:48 PM,11/8/2019 12:00:00 PM
503964,08/1/2019 10:51,Major Road Traffic Issue,STONEBROOK PKWY & STARWOOD DR,75034,Staff,,COMPLETE,2479567.61100000,7098529.25500000,33.13116659,-96.83038107,SPEED LIMIT,Yes,2.5,NO - RESIDENT / OTHER,,9/18/2019 12:00:00 AM,9/19/2019 12:00:00 AM,,9/19/2019 12:00:00 AM,9/19/2019 12:00:00 AM
512568,08/28/2019 10:15,Major Road Traffic Issue,COIT RD & ELDORADO PKWY,75035,"Integration, Citysourced App",10/28/2019 04:29,CLOSED,2498369.33200000,7114616.29200000,33.17454095,-96.76810187,SPEED LIMIT,Yes,0.5,NO - RESIDENT / OTHER,,8/28/2019 12:00:00 AM,9/19/2019 12:00:00 PM,9/19/2019 12:00:00 PM,10/28/2019 12:00:00 PM,10/28/2019 12:00:00 PM
